url,job_title,tech_stack,language_req,is_manager,work_method,contract_type,salary_min,salary_max,exp_years,location,job_level,source,company_name,education_level,is_shift_work,job_category
https://www.vietnamworks.com/project-manager-japanese-report-to-bod-2005591-jv?source=searchResults&searchType=2&placement=2005741&sortBy=date&qs=0,Project Manager - Japanese (Report to BOD),"Microsoft Teams, Provider",1,1,Onsite,Full-time,,,3.0,Hồ Chí Minh,4.0,vietnamworks,FPT SOFTWARE,Unknown,0,PM/PO
https://www.vietnamworks.com/project-manager-officer-tieng-nhat-jlpt-n2-or-higherdaelg-2008562-jv?source=searchResults&searchType=2&placement=2008712&sortBy=date&qs=0,Project Manager Officer Tiếng Nhật / JLPT N2 Or Higher）,Not Specified,0,1,Onsite,Full-time,20.0,50.0,5.0,Hồ Chí Minh,4.0,vietnamworks,CÔNG TY TNHH THANKSLAB VIỆT NAM,Unknown,0,PM/PO
https://itviec.com/it-jobs/dubai-platform-operations-lead-devops-sre-virtual-security-lab-cyber-risk-management-services-l-l-c-5205,Dubai Platform Operations Lead DevOps/SRE,"Jira, GitHub, Microsoft Teams, Context API, Ansible, AWS, Prometheus, Grafana, GitHub Actions, Kubernetes, Terraform, Linux, Kafka, ArgoCD, Redis",1,1,Hybrid,Full-time,50.0,62.5,3.0,Khác,3.0,itviec,VIRTUAL SECURITY LAB CYBER RISK MANAGEMENT SERVICES L.L.C,Unknown,0,Data & AI
https://itviec.com/it-jobs/business-analyst-professional-trading-ai-robo-advisor-cong-ty-co-phan-chung-khoan-kafi-2411,"Business Analyst-Professional Trading AI,Robo-Advisor","Microsoft Teams, Draw.io, Backlog, Go, Adobe Illustrator, Visio",0,0,Hybrid,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,CÔNG TY CỔ PHẦN CHỨNG KHOÁN KAFI,Unknown,0,Data & AI
https://itviec.com/it-jobs/php-back-end-developer-magento-forix-2751,PHP Back-End Developer Magento ,"PHP, Microsoft Teams, HTML, Magento, Shopify, MySQL, CSS, Redis, XML, JavaScript",0,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,FORIX,Unknown,0,Backend Developer
https://itviec.com/it-jobs/chatbot-developer-buttle-information-system-2856,Chatbot Developer,"Node.js, Python, Adobe Illustrator, JavaScript, REST API",1,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,BUTTLE INFORMATION SYSTEM,Unknown,0,General Developer
https://itviec.com/it-jobs/senior-qa-automation-engineer-tymex-4427,Senior QA Automation Engineer,"Selenium, Cucumber, Java, WebdriverIO, Git, JMeter, Swift, Postman, Appium, AWS, Python, SQL, Linux, Playwright, REST API, Microsoft Teams, Cypress, Rest Assured, JavaScript",1,0,Onsite,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,TYMEX,Unknown,0,QA/Tester
https://itviec.com/it-jobs/mobile-developer-android-react-native-deliveree-on-demand-logistics-4244,"Mobile Developer Android, React Native","Kotlin, Microsoft Teams, Gemini, GPT, Cursor, Make, Claude, React, DigitalOcean, Adobe Illustrator, React Native, REST API",0,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,DELIVEREE ON-DEMAND LOGISTICS,Unknown,0,Frontend Developer
https://itviec.com/it-jobs/ml-engineer-froduction-focus-vnggames-2823,ML Engineer Froduction Focus,"Microsoft Teams, PyTorch, TensorFlow, Go, Apache Spark, Python, SQL, Scikit-learn",0,0,Onsite,Full-time,12.5,32.5,2.0,Hồ Chí Minh,2.0,itviec,VNGGAMES,Unknown,0,General Developer
https://itviec.com/it-jobs/senior-java-engineer-elca-5006,Senior Java Engineer  24Hr Campaign,"Jenkins, HTML, Spring Boot, Docker, Hibernate, SQL, React, Microsoft Azure, CSS, Java, Angular, Oracle DB, XML, JavaScript, Spring",1,0,Onsite,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,ELCA,Unknown,0,HR/Admin
